Date;Open;High;Low;Close
07/19/2023;25.5800;66.5400;24.8500;25.3900
07/18/2023;25.7000;26.3300;25.4800;25.5800
07/17/2023;25.9200;26.4400;25.6000;25.7000
07/16/2023;26.0300;26.1000;25.9200;25.9200
07/15/2023;25.8700;28.2600;25.3600;26.0300
07/14/2023;28.8900;29.0000;25.8700;25.8700
07/13/2023;26.9500;28.9100;26.1800;28.8900
07.12.2023;27.5200;28.7600;26.9500;26.9500
07.11.2023;27.9400;29.4500;27.5200;27.5200
07.10.2023;27.4200;28.0500;26.8600;27.9400
07.09.2023;26.0300;27.6200;26.0300;27.4200
07.08.2023;25.9500;26.0300;25.8500;26.0300
07.07.2023;26.6000;26.6000;24.9400;25.9500
07.06.2023;26.1900;26.6000;25.1400;26.6000
07.05.2023;26.6400;28.0900;25.5800;26.1900
07.04.2023;25.6400;28.3900;25.4000;26.6400
07.03.2023;24.3300;25.6400;24.3300;25.6400
07.02.2023;24.8300;25.2500;24.3000;24.3300
07.01.2023;24.8200;24.8300;24.5800;24.8300
06/30/2023;24.8800;24.8800;23.9100;24.8200
06/29/2023;25.6800;25.6800;23.5700;24.8800
06/28/2023;25.5600;25.6800;24.0200;25.6800
06/27/2023;25.0000;27.2300;24.7700;25.5600
06/26/2023;25.2800;27.8100;24.6600;25.0000
06/25/2023;24.6400;27.8400;24.5700;25.2800
06/24/2023;24.9100;25.9500;24.5000;24.6400
06/23/2023;24.4500;24.9100;23.7600;24.9100
06/22/2023;23.6800;24.5600;23.6100;24.4500
06/21/2023;23.0400;25.4800;22.5000;23.6800
06/20/2023;22.8900;23.9000;21.8200;23.0400
06/19/2023;22.5800;24.4700;22.3800;22.8900
06/18/2023;22.7100;22.7100;22.3700;22.3700
06/17/2023;22.1200;26.2900;21.6300;22.7100
06/16/2023;20.8800;22.2200;20.8800;22.1200
06/15/2023;22.1300;22.1300;20.7000;20.8800
06/14/2023;21.7300;22.1300;21.7300;22.1300
06/13/2023;21.0200;21.8700;21.0200;21.7300
06.12.2023;21.9100;21.9100;21.0200;21.0200
06.11.2023;21.4700;23.4200;21.1600;21.9100
06.10.2023;24.2100;27.9900;20.7200;21.4700
06.09.2023;23.7600;27.8500;23.7600;24.2100
06.08.2023;23.9900;24.1900;23.4200;23.7600
06.07.2023;25.3900;25.4300;23.9900;23.9900
06.06.2023;24.8400;25.7000;24.8400;25.3900
06.05.2023;27.4200;27.7100;24.8400;24.8400
06.04.2023;27.9300;28.8400;27.4200;27.4200
06.03.2023;28.8100;29.3700;26.7900;27.9300
06.02.2023;27.3600;29.3700;27.3600;28.8100
06.01.2023;27.3000;27.9100;26.9500;27.3600
05/31/2023;27.8700;27.8700;27.2900;27.3000
05/30/2023;27.8900;28.0200;27.8700;27.8700
05/29/2023;27.6200;29.3600;27.6200;27.8900
05/28/2023;27.6400;29.2100;27.3200;27.6200
05/27/2023;27.2500;29.1900;27.2500;27.6400
05/26/2023;26.9800;27.2500;26.7200;27.2500
05/25/2023;27.3200;27.7800;26.6400;26.9800
05/24/2023;27.8100;27.8100;27.1400;27.3200
05/23/2023;27.7900;28.4400;27.7700;27.8100
05/22/2023;27.5400;28.1500;27.3200;27.7900
05/21/2023;28.6200;28.6700;27.5400;27.5400
05/20/2023;28.9100;28.9100;27.5500;28.6200
05/19/2023;27.9400;28.9100;27.3600;28.9100
05/18/2023;28.0800;28.8000;27.9400;27.9400
05/17/2023;27.3900;28.1300;27.3900;28.0800
05/16/2023;28.5300;28.5400;27.3900;27.3900
05/15/2023;27.6000;29.0300;27.6000;28.5300
05/14/2023;27.8900;27.8900;27.3700;27.6000
05/13/2023;26.5300;29.8300;26.5300;27.8900
05.12.2023;26.7500;27.9700;25.7700;26.5300
05.11.2023;27.8300;27.9500;26.7500;26.7500
05.10.2023;27.6900;28.1900;26.7600;27.8300
05.09.2023;27.6800;27.8100;27.2800;27.6900
05.08.2023;30.0100;30.0100;27.5700;27.6800
05.07.2023;29.7200;30.0100;29.3800;30.0100
05.06.2023;31.1900;31.3100;29.7200;29.7200
05.05.2023;30.5300;31.1900;30.5300;31.1900
05.04.2023;30.2900;31.3200;30.1600;30.5300
05.03.2023;31.2700;31.2700;30.0900;30.2900
05.02.2023;30.4400;33.0900;30.4400;31.2700
05.01.2023;32.3400;32.3400;30.4400;30.4400
04/30/2023;33.1300;33.1300;32.3300;32.3400
04/29/2023;32.2000;33.2200;32.0500;33.1300
04/28/2023;33.0500;33.0500;32.2000;32.2000
04/27/2023;31.7600;33.5000;31.7600;33.0500
04/26/2023;31.7900;33.6000;31.7600;31.7600
04/25/2023;32.0900;32.9400;31.4900;31.7900
04/23/2023;31.4200;32.0900;31.4200;32.0900
04/22/2023;32.0800;33.6400;31.6700;31.7800
04/21/2023;33.0000;33.6300;32.0800;32.0800
04/20/2023;35.1000;35.1000;33.0000;33.0000
04/19/2023;40.0000;40.0000;34.7500;35.1000
04/18/2023;36.0100;36.9900;35.8200;36.9900
04/17/2023;36.7900;37.3300;35.5800;36.0100
04/16/2023;36.7700;37.3900;36.5600;36.7900
04/15/2023;36.1700;37.0600;36.1700;36.7700
04/14/2023;36.6100;37.2200;36.0600;36.1700
04/13/2023;35.9600;37.0600;35.9600;36.6100
04.12.2023;37.1000;37.1000;35.7600;35.9600
04.11.2023;37.0000;37.2900;37.0000;37.1000
04.10.2023;36.5500;38.9100;36.5500;37.0000
04.09.2023;35.8400;36.6700;35.4000;36.5500
04.08.2023;34.8100;35.8400;34.6900;35.8400
04.07.2023;34.9800;35.2700;34.6100;34.8100
04.06.2023;35.5300;35.5300;34.8100;34.9800
04.04.2023;35.2800;35.6800;35.2100;35.5300
04.03.2023;39.1400;39.1400;34.6600;34.6600
04.02.2023;34.9700;39.1400;34.7100;39.1400
04.01.2023;34.9700;35.5200;34.9700;34.9700
03/31/2023;34.5300;35.0400;33.6200;34.9700
03/30/2023;34.5900;36.2700;34.5300;34.5300
03/29/2023;33.1400;34.5900;33.1400;34.5900
03/28/2023;32.9000;33.2600;32.9000;33.1400
03/27/2023;35.1000;35.1000;32.9000;32.9000
03/26/2023;34.1400;35.1000;34.1400;35.1000
03/25/2023;34.2500;34.2500;33.5400;34.1400
03/24/2023;34.8100;35.5500;33.6800;34.2500
03/23/2023;33.8100;35.4000;33.8100;34.8100
03/22/2023;36.0500;36.5300;33.8100;33.8100
03/21/2023;35.4000;36.1700;35.1700;36.0500
03/20/2023;37.4900;37.4900;34.1100;35.4000
03/19/2023;36.7700;37.6800;34.9500;37.4900
03/18/2023;36.0900;37.5400;36.0900;36.7700
03/17/2023;35.1000;36.3200;35.1000;36.0900
03/16/2023;34.2100;35.9200;34.0700;35.1000
03/15/2023;35.3600;36.2300;33.5200;34.2100
03/14/2023;34.0100;36.4900;34.0100;35.3600
03/13/2023;31.3600;34.5000;31.3600;34.0100
03.12.2023;30.6900;31.5600;30.3400;31.3600
03.11.2023;31.7100;32.9300;28.9800;30.6900
03.10.2023;33.3600;33.3700;30.5300;31.7100
03.09.2023;35.2900;37.2200;33.3600;33.3600
03.08.2023;34.7600;35.9200;33.6900;35.2900
03.07.2023;36.0700;36.7000;33.6300;34.7600
03.06.2023;36.4900;37.4400;34.5300;36.0700
03.05.2023;35.5700;36.8400;34.5000;36.4900
03.04.2023;37.2800;37.2800;34.9200;35.5700
03.03.2023;41.2300;41.2300;36.4300;37.2800
03.02.2023;39.9900;41.2300;38.9900;41.2300
03.01.2023;39.9700;40.5500;39.9600;39.9900
02/28/2023;39.9600;40.9200;39.7400;39.9700
02/27/2023;42.6700;42.6700;39.9200;39.9600
02/26/2023;41.0200;46.2300;41.0000;42.6700
02/25/2023;39.6300;44.0000;38.9200;42.4400
02/24/2023;42.2900;42.2900;39.6300;39.6300
02/23/2023;40.9400;42.2900;40.9400;42.2900
02/22/2023;42.3400;42.4200;40.5200;40.9400
02/21/2023;42.7600;44.0000;41.9400;42.3400
02/20/2023;43.9100;44.1200;42.2500;42.7600
02/19/2023;40.5000;56.8300;40.5000;43.9100
02/18/2023;41.1000;41.1000;39.5400;40.5000
02/17/2023;39.2200;41.1400;38.5600;41.1000
02/16/2023;37.7900;43.5700;37.7900;39.2200
02/15/2023;36.1100;37.7900;36.1100;37.7900
02/14/2023;35.2600;36.5400;34.0800;36.1100
02/13/2023;36.0000;36.1600;34.1200;35.2600
02.12.2023;35.4400;38.6900;35.4400;36.0000
02.11.2023;35.3200;36.6900;35.3200;35.4400
02.10.2023;36.7800;38.0400;35.3200;35.3200
02.09.2023;39.4200;39.8600;36.7800;36.7800
02.08.2023;40.4600;41.4800;39.2800;39.4200
02.07.2023;38.3500;40.4700;38.3500;40.4600
02.06.2023;37.5900;39.1400;37.5900;38.3500
02.05.2023;39.3700;40.1000;36.9700;37.5900
02.04.2023;38.0500;40.4500;37.5400;39.3700
