Unix;Date;Symbol;Open;High;Low;Close;Volume 1INCH;Volume BUSD;tradecount
1,67E+12;23.12.2022;1INCHBUSD;0.398;0.399;0.391;0.397;315013.5;124298.4752;820
1,67E+12;22.12.2022;1INCHBUSD;0.398;0.401;0.389;0.396;525632.7;208321.1119;1093
1,67E+12;21.12.2022;1INCHBUSD;0.405;0.406;0.394;0.399;577401.8;230824.0827;1153
1,67E+12;20.12.2022;1INCHBUSD;0.382;0.407;0.379;0.404;659428.5;260140.98;1369
1,67E+12;19.12.2022;1INCHBUSD;0.391;0.404;0.38;0.382;977129.7;386187.6862;2167
1,67E+12;18.12.2022;1INCHBUSD;0.389;0.395;0.382;0.391;327027.2;126845.5717;744
1,67E+12;17.12.2022;1INCHBUSD;0.384;0.391;0.376;0.39;583249.6;223589.4667;1707
1,67E+12;16.12.2022;1INCHBUSD;0.423;0.43;0.366;0.385;1185535.0;472828.8438;2780
1,67E+12;15.12.2022;1INCHBUSD;0.431;0.436;0.422;0.423;401104.1;172013.2678;892
1,67E+12;14.12.2022;1INCHBUSD;0.442;0.445;0.428;0.432;956291.3;418734.237;1482
1,67E+12;13.12.2022;1INCHBUSD;0.432;0.444;0.417;0.441;1048782.4;452989.9063;2304
1,67E+12;12.12.2022;1INCHBUSD;0.434;0.434;0.413;0.432;928147.9;392832.8226;1889
1,67E+12;11.12.2022;1INCHBUSD;0.444;0.451;0.434;0.435;646323.0;287453.4664;1331
1,67E+12;10.12.2022;1INCHBUSD;0.44;0.447;0.44;0.444;452411.0;200578.6905;1161
1,67E+12;09.12.2022;1INCHBUSD;0.448;0.451;0.435;0.441;1084157.8;481456.1444;1995
1,67E+12;08.12.2022;1INCHBUSD;0.444;0.449;0.429;0.448;964138.6;422842.285;2462
1,67E+12;07.12.2022;1INCHBUSD;0.476;0.476;0.429;0.444;1743249.2;783745.9313;3488
1,67E+12;06.12.2022;1INCHBUSD;0.484;0.489;0.468;0.475;1096549.8;522000.1708;2601
1,67E+12;05.12.2022;1INCHBUSD;0.498;0.504;0.479;0.484;1320969.9;654982.6329;2961
1,67E+12;04.12.2022;1INCHBUSD;0.487;0.499;0.487;0.498;646855.0;319840.636;1550
1,67E+12;03.12.2022;1INCHBUSD;0.505;0.508;0.482;0.487;2435745.0;1209885.7195;3736
1,67E+12;02.12.2022;1INCHBUSD;0.508;0.512;0.495;0.503;1023070.3;513740.6252;3470
1,67E+12;01.12.2022;1INCHBUSD;0.528;0.528;0.505;0.51;630970.9;324470.6633;1786
1,67E+12;30.11.2022;1INCHBUSD;0.52;0.531;0.513;0.527;521615.4;272904.4517;1623
1,67E+12;29.11.2022;1INCHBUSD;0.516;0.524;0.51;0.519;407646.2;210871.0761;1142
1,67E+12;28.11.2022;1INCHBUSD;0.519;0.54;0.5;0.516;699423.3;360322.4847;3085
1,67E+12;27.11.2022;1INCHBUSD;0.519;0.569;0.515;0.519;1092967.2;589596.9567;4258
1,67E+12;26.11.2022;1INCHBUSD;0.518;0.527;0.514;0.518;455640.5;237363.1967;1433
1,67E+12;25.11.2022;1INCHBUSD;0.528;0.528;0.512;0.517;377215.5;195247.123;1324
